kata,bobot
sms baik,-0.1642159128939871
kode capca,-0.16416982650670275
bumn,-0.1641037736478676
surat kontrol,-0.16400648629676542
daftar daftar,-0.1638130759071465
guna sulit,-0.16377492404942315
kendala tolong,-0.16365907675617766
ribut,-0.16355023843111471
chek,-0.16352573644976603
rate,-0.16316981957233317
bagus susah,-0.16315641830225813
cek riwayat,-0.16307120728064403
apotik,-0.16283427417229013
bnyak,-0.16266345819797595
baru sulit,-0.1625909621830044
aplikasi masalah,-0.1625520228058973
ribet verifikasi,-0.16242069117491412
tua paham,-0.1621512920331471
mna,-0.16209783605484177
rujuk daftar,-0.16205775765937253
nenek,-0.16173294823257103
fasilitas tolong,-0.16144498293340306
smpe,-0.16140688969951075
wajah mudah,-0.16137403278580909
ngisi data,-0.16130690597311703
ngasih,-0.1612799732178417
skrg buka,-0.16123035332275754
tenaga,-0.1610677907531109
bca,-0.16103521959062803
guna eror,-0.16085969874015046
boleh,-0.1606507312710957
wajah gagal,-0.16058276771486021
kirim verifikasi,-0.16046655796895273
skrng,-0.1602905610256305
ahh,-0.16026803655587274
gmna,-0.15992954289516578
input,-0.15980172168472168
ditindaklanjuti,-0.15962181109184623
syarat,-0.1595957393700771
kocakk,-0.15958574279506352
bkn,-0.15945025703905522
lot aplikasi,-0.15937170224629243
lahh,-0.15933285575388173
pol temu,-0.15917612479560983
semrawut,-0.15893664114740255
libur,-0.15876533607787754
otak,-0.15874899173911095
obat pake,-0.1587096348170294
rendah,-0.15859095389209193
cepat baik,-0.15845612372331522
aneh kutu,-0.15835210123983015
playstore,-0.15824806506466968
guna buang,-0.15820216068871068
kon,-0.15812021468792567
opo,-0.15806360134307118
baru kaga,-0.157975381837446
pasien layan,-0.15762071353154813
semalem,-0.1575613645217688
dapet,-0.15748940809971307
baru ribet,-0.15733136856968233
saudara,-0.15724666862154152
malas,-0.15713101072779243
poco,-0.15711759426157768
ponsel poco,-0.15711759426157768
kontrol surat,-0.15708882752531603
odong,-0.15698354087664862
diroot,-0.15697059399127292
anehhh,-0.15681238578508985
daftat,-0.1566541783714848
ambil screenshot,-0.15652911434840716
rujuk fasilitas,-0.1565279492527404
daftar nama,-0.15643052294515702
fasilitas ubah,-0.1563336753157025
ad,-0.1562952297626293
nyoba,-0.15616172118378824
barcode,-0.1561183178306075
eror rumah,-0.15598296274167336
sering baru,-0.1557745201837046
kis nonaktif,-0.15575528594874438
pake wifi,-0.15559658474566304
muter muter,-0.1554838153767716
kemaren,-0.15504095068357204
gag,-0.15502643599836255
tolong aplikasi,-0.1545477168012275
slah,-0.15453349206646166
saat,-0.15450568303203813
